scorer,,,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko
bodyparts,,,Cdist,Cdist,Cexten,Cexten,Clump,Clump,CslideTop,CslideTop,Ctop,Ctop,Extensor,Extensor,Latch,Latch,MDist,MDist,MLat,MLat,MProx,MProx,MVBot,MVBot,MVnotchP,MVnotchP,MVtip,MVtip,MVtop,MVtop,Pdist,Pdist,Plat,Plat,Prox,Prox
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140000.png,294.08905029296875,138.95924377441406,320.59675,88.51624,341.28017,105.04355,346.9525451660156,140.4186248779297,,,263.17418,110.48734,,,142.9873504638672,96.93157958984375,150.56471252441406,221.7933349609375,34.26868,204.6619,260.6488037109375,160.53126525878906,,,314.47161865234375,100.96572875976562,271.9231872558594,90.19204711914062,187.80498,200.46435,215.10626,237.92293,345.76161,148.70715
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140001.png,294.08904,138.95925,320.45032,88.51624,341.28017,105.18997,346.95254,140.41863,,,263.1741943359375,110.48734283447266,,,142.98735,96.93158,150.56471,221.79333,34.26868,204.6619,260.6488,160.53126,286.41204,116.94072,314.47161865234375,100.96572875976562,271.08728,90.19205,187.80498,200.46435,215.10626,237.92293,345.76161,148.70715
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140002.png,294.08905029296875,138.95924377441406,320.45032,88.51624,341.28017,105.18997,347.09896,140.41863,,,263.1741943359375,110.48734283447266,,,142.98735,96.93158,150.56471252441406,221.7933349609375,34.26868,204.6619,260.6488,160.53126,286.41204,116.94072,314.47161,100.96573,271.36591,90.19205,187.80498,200.46435,214.88662,237.92293,345.76161,148.70715
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140003.png,294.08904,138.95925,320.45032,88.51624,341.28017,105.18997,347.09896,140.34542,,,263.1741943359375,110.48734283447266,,,142.98735,96.93158,150.56471,221.79333,34.26868,204.6619,260.6488,160.53126,286.41204,116.94072,314.47161,100.96573,271.92318,90.19205,187.80498,200.46435,214.88662,237.92293,345.76161,148.70715
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140004.png,294.08904,138.95925,320.45032,88.51624,341.28017,105.18997,347.24538,140.34542,,,263.17418,110.15789,,,142.98735,96.93158,150.56471,221.79333,34.26868,204.6619,260.6488,161.02492,286.41204,116.94072,314.47161,100.89252,271.92318,90.19205,187.80498,200.46435,214.88662,237.92293,345.76161,148.70715
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140005.png,293.7962,139.10568,320.45032,88.51624,341.28017,105.18997,347.24538,140.27221,,,263.17418,110.15789,,,142.6579,97.26103,150.56471,221.79333,34.26868,204.6619,260.6488,161.02492,286.41204,116.94072,314.47161,100.96573,271.92318,90.19205,187.80498,200.46435,214.88662,237.92293,345.76161,148.70715
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140006.png,293.7962,139.10568,320.45032,88.51624,341.42659,105.04355,347.24538,140.27221,,,263.17418,110.15789,298.09593,121.35921,142.6579,97.26103,150.56471,221.79333,34.26868,204.6619,260.15515,161.02492,286.41204,116.94072,314.32519,100.89252,271.92318,90.19205,187.80498,200.46435,214.88662,237.92293,345.76161,148.92679
labeled-data,GE_104_071222_C1_091222_elastic_C001H001S0014,GE_104_071222_C1_091222_elastic_C001H001S00140007.png,293.7962,139.10568,320.45032,88.51624,341.42659,105.04355,348.05071,139.75973,,,263.17418,110.15789,299.08428,119.71195,142.98735,96.93158,150.56471,221.79333,34.26868,204.6619,260.15515,161.02492,286.41204,116.94072,314.32519,100.96573,271.92318,90.19205,187.80498,200.46435,214.88662,237.92293,345.76161,148.92679
