scorer,,,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko,Hiko
bodyparts,,,Cdist,Cdist,Cexten,Cexten,Clump,Clump,CslideTop,CslideTop,Ctop,Ctop,Extensor,Extensor,Latch,Latch,MDist,MDist,MLat,MLat,MProx,MProx,MVBot,MVBot,MVnotchP,MVnotchP,MVtip,MVtip,MVtop,MVtop,Pdist,Pdist,Plat,Plat,Prox,Prox
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0000.png,359.04986572265625,87.436767578125,402.8681945800781,47.889610290527344,,,425.1965637207031,88.6552734375,,,350.5127868652344,45.92979049682617,355.26797,59.97695,123.01959991455078,10.649109840393066,224.8394317626953,134.89971923828125,54.61444,51.1871,321.81818,106.51515,360.6745300292969,64.45951080322266,387.12618,47.53103,,,231.8760528564453,149.39743041992188,320.8719787597656,162.12916564941406,,
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0001.png,359.04988,87.43677,402.86818,47.88961,,,425.19656,88.65527,,,349.67287,47.32966,355.26797,59.97695,122.73962,10.92908,224.83943,134.89972,54.33446,51.1871,321.81818,106.51515,360.44245,64.63358,387.12618,47.4066,,,231.87605,149.95739,320.87197,162.12916,,
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0002.png,359.04988,87.43677,402.86818,47.88961,,,425.19656,88.65527,,,350.23283,46.76971,355.26797,59.7903,122.73962,10.92908,224.83943,134.89972,54.33446,51.1871,321.81818,106.51515,360.44245,64.63358,387.12618,47.4066,,,231.87605,149.21078,320.87197,162.12916,,
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0003.png,359.22395,87.61084,402.86818,47.88961,,,425.19656,88.65527,,,350.23283,47.04969,355.26797,59.60365,122.73962,10.92908,224.83943,134.89972,54.33446,51.1871,321.81818,106.51515,360.44245,64.28544,387.12618,47.4066,,,231.87605,149.21078,320.87197,162.12916,,
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0004.png,359.22395,87.95898,402.58821,47.04969,,,425.19656,88.65527,,,350.23283,47.04969,354.988,59.60365,122.73962,10.64911,224.83943,135.17969,54.33446,51.1871,321.81818,106.51515,360.44245,64.28544,387.12618,47.4066,,,231.87605,149.21078,320.87197,162.31581,,
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0005.png,359.57209,88.4812,402.58821,47.04969,,,425.19656,88.65527,,,350.23283,47.04969,356.20122,56.43059,123.0196,10.36913,224.8394317626953,135.1796875,54.05449,51.1871,321.81818,106.51515,360.44245,64.11137,387.12618,47.53103,,,232.0627,149.21078,321.61858,162.31581,,
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0006.png,359.74616,89.00341,402.58821,47.04969,,,425.02249,88.65527,,,350.23283,47.32966,358.62768,54.00414,123.0196,10.36913,224.83943,135.17969,54.05449,51.1871,321.81818,106.51515,360.44245,64.11137,387.00175,47.65547,,,232.24935,149.02413,321.61858,162.31581,,
labeled-data,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat,GE_122_071222_C1_090622_elastic_C001H001S0003pts_Zanne.mat0007.png,359.74616,89.17748,402.58821,46.76971,,,425.42866,88.82934,,,349.95285,47.32966,360.49418,52.32429,123.0196,10.36913,224.55946,135.17969,54.05449,51.1871,321.81818,106.51515,360.99516,63.58295,386.87732,47.7799,,,232.436,149.02413,321.61858,162.31581,,
